Date,COMB,HNB,SAMP,LOLC,LOFC,NTB,LFIN,DFCC,NDB,SEYB,CFIN,PLC,COCR,PABC,VFIN,CFVF,HNBF,MERC,CALF,UBC,ABL,CDB,SFCL,GUAR,SFIN,JKH,MELS,HAYL,CTHR,CARS,VONE,HHL,BUKI,BIL,RICH,SUN,SPEN,CIC,GREG,TAP,BRWN,EBCR,CTC,DIST,CARG,LION,CCS,BREW,GRAN,LMF,LAMB,TAFL,DIAL,SLTL,ACL,RCL,GLAS,TKYO,HAYC,DIPD,KCAB,TJL,JAT,SIRA,MGT,SINS,UML,DIMO,LIOC,WIND,LLUB,LGL,VLL,CINS,UAL,JINS,AAIC,HASU,AEL,OSEA,PLR,RIL,CFLB,WATA,NAMU,CTEA,ASIR,LHCL,NHL,AHUN,PALM,KHL,AHPL,HUNA,EDEN,DOCK
2020-01-02,0.0,0.0005807776296307132,0.004926065248362921,-0.04394367916483277,0.0,0.0,0.0,-0.020674575617874114,0.009999994727409645,0.0,-0.014422834330643286,0.011173221044774584,0.023728928864460208,0.0,0.0,-0.022277334495618528,0.0,0.0,0.0,-0.02255647386078352,0.0,-0.026221912109335332,0.0,0.0,0.007692294516295162,-0.022076534976736006,-0.03218421084701051,0.0,0.0,0.0,0.02857138235594836,-0.0074998843319714625,0.0,0.08000017547608862,-0.00847466227473781,0.0,-0.008602143606319057,-0.018333160706575757,0.007752021571989509,-0.039999960867317164,0.18792862361434648,0.0,-0.00027254595588133146,-0.02162146053660785,0.0,0.0,0.0,0.0,0.029197192629379254,0.005993847157186538,0.0,0.045454587597204776,0.008130147014808964,-0.025078405527021452,0.0034781524420870458,-0.0022599710264754602,-0.022222183498720183,0.0,0.0,0.003571337487639603,0.029411794284289083,-0.002451103315157299,0.0,0.030303018764643364,-0.016759505348427184,0.017093892402360034,0.014285726037776891,0.0,-0.010526443300025057,0.0,-0.005340588314846739,-0.01714281354631697,-0.02040807423702673,0.0,0.0,0.015384624616551434,-0.005333340811140563,-0.021739193023074477,-0.004587101740719746,0.006249990402210193,0.0,0.03389813167461164,-0.029850759456956033,0.0038462524237063977,-0.027283547488432425,0.0,0.0,0.0024569810365875355,0.02631582744894323,-0.0036900509248001256,0.06273059939049119,0.0172413636413582,-0.0296297128193731,0.0,-0.05978258217467769,-0.025806431691263954
2020-01-03,0.0,0.005223342715421575,-0.011029315680131435,0.003535687179173186,0.07692300168250155,0.0,0.03913900720957231,-0.011111266058689506,0.0,-0.0038095453772990506,0.0,0.0,-0.00662261061186975,-0.023437543636448233,0.008275712223746678,0.005063415279479955,0.0,0.0,0.0,-0.007692336609931405,0.0,0.0,0.0,-0.0032858870314367294,-0.007633574810639421,0.0012203914078965372,0.0,-0.024013506414561347,0.0,0.0,-0.027777734094162176,0.0,0.0,0.0,0.0,0.0,-0.0021690645441162504,0.0,0.0,0.04166662420499012,-0.010392627502734397,-0.0020799693756834436,-0.004545634386116548,-0.005524995727655635,0.0,0.0,-0.021635510089915155,0.0,0.0340425299796594,-0.0069512532945894545,0.0,0.016406874070631794,0.03225809075430508,-0.0032153940772308154,-0.005199145243405479,-0.011324956766606942,0.0,0.0,-0.0005265776373640785,0.008303664639344843,0.016000022735883412,-0.017199105663701975,0.0,0.0,0.0,-0.02801133333016781,0.0,0.0,0.01595751397312828,0.0,0.004026898384426936,0.034883630669011456,0.02083324055691005,0.0,0.0,0.0,0.0026810033072124373,-0.007407449645492337,-0.004608240207396808,0.0,0.0,0.0,0.0,-0.011494163843089988,0.0,-0.011308361439212211,0.0,0.0,0.0,-0.011111082854094345,-0.045138891135928505,-0.016949137400036896,-0.002544452022515964,0.0,0.06936422626320349,-0.004966907253779129
2020-01-06,-0.010526237683584627,-0.018475663837006384,-0.011152549928353017,-0.007633605569359325,-0.04761900436850974,0.0,-0.011299341787567863,0.0,-0.006930689451217331,-0.02485654517255753,0.014633896596871754,-0.005524837647166825,0.0,-0.024000045756134458,-0.008207786941028972,-0.005037906267906567,0.0,0.0,0.0,-0.023255750519261542,0.0,0.0,0.0,-0.05274722999863923,-0.015384589032590101,-0.0121876137289747,-0.011876416803950685,0.0,0.0,0.0,0.0,-0.013853946274358098,0.0,0.0,0.0,-0.036169901271355775,-0.010869738860574962,-0.008489159432287896,0.0,-0.039999960867317164,-0.040840141477645475,0.0,0.0,-0.0055554887276415554,0.010362822524732529,0.0,0.0,0.0,-0.041152372666247494,-0.030000017362326825,0.0,-0.03874099007745624,0.007812449872749205,-0.00645160410974388,-0.024390309474024208,-0.026345914977905394,-0.02272730648032395,-0.014583342941665633,-0.010005294488638516,-0.023529207479634162,-0.038245297813178314,-0.01249977900396071,0.0,0.0,-0.017045612878692995,-0.020172649924245167,-0.05946788366935041,0.0,-0.020942221751154455,0.0,-0.016042892200030523,-0.0561797776888634,0.0,0.0,-0.030303016095664215,-0.015151524105814884,-0.0053476009173742955,0.0,-0.03240755337596879,-0.018633422164800684,0.0,-0.03278672302048424,-0.03846159392718229,-0.01937995107224033,0.002438965872400889,0.0,0.06500013954567208,-0.012255012801603016,0.0,-0.02621725628978555,0.0036363754112374025,-0.01724144625965096,-0.0051020891104779365,0.0,-0.021621687980824755,-0.018302838371499375
2020-01-07,-0.0021276912318290986,-0.005882305104593866,-0.027568800392709703,-0.024260391145062843,-0.02499997615814209,0.0,0.015872870919652504,-0.006741645540031094,-0.010967092938682144,-0.00980397676956346,0.009615411872961444,-0.01666676278703383,-0.0666666490159552,0.0,-0.008275908557090594,-0.027848017859099294,0.0,0.0,-0.006976699292569166,-0.015873074976002877,0.0,0.0,0.0,0.03828305148054656,0.015624972818041094,0.004935001388678417,-0.0024037064180723045,-0.024604708818327548,0.0,0.0,-0.011428606860439672,-0.02171149967848962,0.0,0.0,-0.025640971529693024,-0.004415140253242078,-0.010988869705178095,0.027397281752269853,-0.03076911785291503,-0.04166672611301392,-0.0231142818372696,0.0,0.004383740336987074,-0.022346403355228528,0.0,0.0,0.0,0.0,-0.02002858557013021,0.0,0.0,-0.022669918874080874,-0.007751888631397308,-0.00974028247923886,-0.0035714586009047977,-0.021176488684124917,0.0,-0.054968251603902396,0.0,-0.0012049898440392726,-0.010526370323188594,-0.017721730816675163,0.0,-0.05882350767248523,-0.01734098110714133,-0.02941189606886141,-0.0016638505759630773,0.0,-0.01604303747059166,0.0,-0.046195431401159115,0.011904807858458266,-0.040816212626784254,0.0,0.0,-0.0123077356977922,-0.0026883481151571686,0.0,-0.04306213406306603,-0.012658207005565414,0.0,0.01694902056651859,-0.03999998105527036,-0.007905044369876713,-0.0024330317908964894,0.0,-0.03755868492906933,-0.007444104829830489,0.0,-0.011538432194636461,-0.003623200095500212,-0.026315725316723104,0.0,0.0,-0.005524806257536818,-0.030508467536566997
2020-01-08,-0.019189634091790198,-0.05147937613062259,-0.010953692669095738,-0.05761067526760255,-0.025641061693801315,-0.032500015702766394,-0.02812510085415265,-0.027149274498111664,-0.02419353552795689,-0.04356440463586442,-0.024761899413733413,-0.03954793829842329,-0.014285634587350216,-0.0327868679002522,-0.012517357172298404,-0.06770827997065021,0.0,0.0,0.0,-0.04032249673590449,-0.04347821835076937,-0.014687644158173585,0.0,0.0,-0.023076883548885263,-0.011049607969306652,-0.03614444341326173,-0.0390391550563457,-0.000594560830515789,0.0,-0.06358380990579404,0.018276908340253417,-0.04345941406532838,-0.05555562003088621,-0.04385966242205275,-0.035476707656669104,-0.051111198730629526,-0.06499997909900246,-0.047619095409166534,-0.02173905645995533,-0.05354922650483862,0.0,-0.004364607033080947,-0.04000014140240615,-0.03692300425019712,-0.0031562695636543348,0.015556783435035637,0.0,-0.04379574054713509,0.0,0.0,-0.03264613009206052,-0.023437687317621192,-0.03606563449090372,-0.04121863125757197,-0.05168286837981417,0.0,-0.058165507875470035,-0.02074460694683844,-0.08805793694947206,-0.04373514738779116,-0.00773184705492691,0.0,-0.03125006626234139,-0.04117655432814815,-0.08484855424670301,0.0,0.0,-0.07608690598086854,0.0,-0.03846161866045228,-0.052941154031192594,0.021276567283988745,0.0,-0.001562363866102645,-0.06230527531983587,-0.02695401242799733,-0.0074626058961942965,-0.0649999200478838,-0.03846165961705483,0.0,-0.03333325617178151,0.008333296331908935,0.04382462354869521,-0.0012194355205569218,-0.032025333556666924,-0.024390372259410875,-0.0250000055441727,0.0,-0.04280156999279072,0.0,-0.018018088023291745,-0.04358974909837643,0.0,-0.0055555726722720244,-0.05069930350795082
2020-01-09,0.008695659048048032,-0.0018714758150878419,0.009772023690699738,0.06692412846683338,0.052631592156154205,0.021963710409894865,0.01028948263046603,0.01162795449177545,0.033057833233419265,0.04554870693544033,0.01562496701052507,0.0470587960608595,0.02536215131454611,0.016949185346666118,0.040845044444685064,0.07541893065691108,0.0,0.0,0.0,0.03361340534559276,0.04545449898255782,0.042236007794281605,0.0,0.0,0.01574791621718985,0.010552409967383047,0.0,0.02312523004659295,0.0,0.0,0.08024694638790009,-0.024358858592412602,0.022262607115625777,0.07843133239137146,0.018348697629029687,0.032183834213675544,0.04449636567724724,0.0695186926695106,0.07499983953923706,0.04444439854809068,0.11315787465948812,0.0,0.0045663915324871684,0.029762091716196037,0.0,0.0005001612796666777,0.012533310605899572,0.0,0.03969482432477167,0.0,0.0,0.03552400458459415,0.0,0.0238096066536857,0.031775673009740935,0.06463880567226132,0.0,0.052256660768947194,0.0,0.07142874743591143,0.032138448102229766,0.023376598619686106,0.0,0.06451618917835478,0.05521493129407351,0.033112737666173286,0.004999870765742598,0.0,0.05882346686808737,0.0,0.06370395429503306,0.031055899885286564,0.0,0.0,0.0,0.029900195322699608,0.0415511264856816,0.01503755467842427,0.048128136966056,0.04666678743069963,0.0,0.0,0.0330578687619163,0.0,0.037850933861391045,0.0,0.0,0.010256435334588199,0.0,0.06097560881055486,0.0,-0.03669721705399709,0.018766827725063218,0.0,0.033519583156445876,0.06813995498634351
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,-0.02155180131367984,-0.003125041653491034,-0.020645161679649582,-0.02895056069606583,0.0,-0.0012640400280563568,0.0,0.021839007101938757,-0.00299999841822296,-0.007920837118758572,0.009615411872961444,-0.0010268647827575972,0.0,0.008333349193297312,-0.01894447704969937,-0.0025974005556397284,0.0,0.0,0.0,0.0,-0.04347821835076937,-0.0405244181533001,0.0,0.0,-0.007751838964469737,0.004299703598812599,0.00499987156323245,0.0,0.0,0.0,0.0,-0.0013143083416115031,0.0,0.036363714053753826,0.0,-0.0178173323377272,-0.017936990294608823,0.0,0.007752021571989509,0.0,0.02127663220122189,0.0,0.01851839503242103,0.023121212803251856,0.012246958016095766,0.0,0.0,0.0,-0.02643175065877834,0.0,0.0,-0.03516300253804161,-0.015999900408383283,0.03986705514406985,-0.005434685215193191,0.0,0.0,0.013543822614195733,0.02118406198628131,0.03396201514189645,-0.03712581560005146,0.0025381986530419454,0.0,0.0,0.017646939076710222,0.02243594242163982,0.011608721678010303,0.0,-0.011111113342607837,0.0,-0.004178530232163635,-0.024096362008327765,-0.02083330604614997,-0.06311338732237426,0.0,-0.029032128995112094,0.0,0.0,0.03571433602289886,0.012738740336073251,0.0,0.0,0.0,-0.04580126711494914,0.008235416921869687,0.0,0.0,0.015228406967263242,0.0,-0.022988520026831494,0.0,0.0,0.052631656312373876,0.0,-0.010810843990412322,0.008620724370583366
2020-01-14,0.011013256165536278,0.009404581650352295,0.00790519240770271,0.0,-0.02499997615814209,-0.006329116633659759,-0.00700201484466767,-0.0022495925027739005,-0.00200612276240153,0.0059880582733093934,-0.0019048046901323223,-0.005847976311386116,-0.028268489417711762,0.0,-0.027586209153256824,0.010416724134171496,0.0,0.0,0.0,0.0,0.0,0.006211184459080865,0.0,0.0,0.0,0.015290449316235133,-0.004974997216124488,-0.009774123374416077,0.0,-0.000526452101743291,-0.017142910290659508,-0.005263076978817116,0.0,-0.035087791632067544,0.0,0.0,-0.004566260950957579,0.0,-0.015384514712237451,-0.021276626746126848,-0.039351868817508295,0.0,-0.018272702572647237,-0.011299300287966774,0.0,0.0,0.0,0.0,0.006033145699248621,0.0,0.0,0.022222171506598665,0.016260059744936717,-0.009584616414275549,-0.016393507607086022,-0.011904514847266068,0.0,-0.00445431529345286,0.016216355692607598,0.021897940104384173,0.044776159796081405,-0.0075950099145862815,0.0,0.0,-0.011560592040457451,0.06896560504279736,0.0,0.0,0.016854071401342763,0.0,-0.019580401827957283,0.030864196077313943,0.0,0.0,0.0,0.029900195322699608,0.00797890590946948,-0.014814776664286433,-0.014778264266283925,-0.018867804471347727,0.0,0.03448267604590827,0.023999972845887507,0.011999704095551289,-0.007001270409370153,0.008907542562983206,0.0,0.0,0.0,0.019607843137254832,0.0,-0.019047602531453545,-0.062499987531801415,0.0,-0.01639342133137689,-0.0017094085343056786
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
